team,confederation
Kurdistan,AFC
Kuwait,AFC
Kyrgyzstan,AFC
Kárpátalja,UEFA
Laos,AFC
Latvia,UEFA
Lebanon,AFC
Lesotho,CAF
Liberia,CAF
Libya,CAF
Liechtenstein,UEFA
Lithuania,UEFA
Luhansk PR,UEFA
Luxembourg,UEFA
Macau,AFC
Madagascar,CAF
Madrid,UEFA
Malawi,CAF
Malaysia,AFC
Maldives,AFC
Mali,CAF
Malta,UEFA
Manchukuo,AFC
Mapuche,CONMEBOL
Marshall Islands,OFC
Martinique,CONCACAF
Matabeleland,CAF
Maule Sur,CONMEBOL
Mauritania,CAF
Mauritius,CAF
Mayotte,CAF
Menorca,UEFA
Mexico,CONCACAF
Micronesia,OFC
Moldova,UEFA
Monaco,UEFA
Mongolia,AFC
Montenegro,UEFA
Montserrat,CONCACAF
Morocco,CAF
Mozambique,CAF
Myanmar,AFC
Namibia,CAF
Nepal,AFC
Netherlands,UEFA
New Caledonia,OFC
New Zealand,OFC
Nicaragua,CONCACAF
Niger,CAF
Nigeria,CAF
Niue,OFC
North Korea,AFC
North Macedonia,UEFA
North Vietnam,AFC
Northern Cyprus,UEFA
Northern Ireland,UEFA
Northern Mariana Islands,AFC
Norway,UEFA
Occitania,UEFA
Oman,AFC
Orkney,UEFA
Padania,UEFA
Pakistan,AFC
Palau,OFC
Palestine,AFC
Panama,CONCACAF
Panjab,AFC
Papua New Guinea,OFC
Paraguay,CONMEBOL
Parishes of Jersey,UEFA
Peru,CONMEBOL
Philippines,AFC
Poland,UEFA
Portugal,UEFA
Provence,UEFA
Puerto Rico,CONCACAF
Qatar,AFC
Quebec,CONCACAF
Raetia,UEFA
Republic of Ireland,UEFA
Republic of St. Pauli,UEFA
Rhodes,UEFA
Romani people,UEFA
Romania,UEFA
Russia,UEFA
Rwanda,CAF
Ryūkyū,AFC
Réunion,CAF
Saare County,UEFA
Saarland,UEFA
Saint Barthélemy,CONCACAF
Saint Helena,CAF
Saint Kitts and Nevis,CONCACAF
Saint Lucia,CONCACAF
Saint Martin,CONCACAF
Saint Pierre and Miquelon,CONCACAF
Saint Vincent and the Grenadines,CONCACAF
Samoa,OFC
San Marino,UEFA
Sark,UEFA
Saudi Arabia,AFC
Saugeais,UEFA
Scotland,UEFA
Sealand,UEFA
Seborga,UEFA
Senegal,CAF
Serbia,UEFA
Seychelles,CAF
Shetland,UEFA
Sierra Leone,CAF
Silesia,UEFA
Singapore,AFC
Sint Maarten,CONCACAF
Slovakia,UEFA
Slovenia,UEFA
Solomon Islands,OFC
Somalia,CAF
Somaliland,CAF
South Africa,CAF
South Korea,AFC
South Ossetia,UEFA
South Sudan,CAF
South Yemen,AFC
Spain,UEFA
Sri Lanka,AFC
Sudan,CAF
Suriname,CONCACAF
Surrey,UEFA
Sweden,UEFA
Switzerland,UEFA
Syria,AFC
Székely Land,UEFA
Sápmi,UEFA
São Tomé and Príncipe,CAF
Tahiti,OFC
Taiwan,AFC
Tajikistan,AFC
Tamil Eelam,AFC
Tanzania,CAF
Thailand,AFC
Tibet,AFC
Ticino,UEFA
Timor-Leste,AFC
Togo,CAF
Tonga,OFC
Trinidad and Tobago,CONCACAF
Tunisia,CAF
Turkey,UEFA
Turkmenistan,AFC
Turks and Caicos Islands,CONCACAF
Tuvalu,OFC
Two Sicilies,UEFA
Uganda,CAF
Ukraine,UEFA
United Arab Emirates,AFC
United Koreans in Japan,AFC
United States,CONCACAF
United States Virgin Islands,CONCACAF
Uruguay,CONMEBOL
Uzbekistan,AFC
Vanuatu,OFC
Vatican City,UEFA
Venezuela,CONMEBOL
Vietnam,AFC
Vietnam Republic,AFC
Wales,UEFA
Wallis Islands and Futuna,OFC
West Papua,AFC
Western Armenia,UEFA
Western Australia,AFC
Western Isles,UEFA
Western Sahara,CAF
Yemen,AFC
Yemen DPR,AFC
Ynys Môn,UEFA
Yorkshire,UEFA
Yoruba Nation,CAF
Yugoslavia,UEFA
Zambia,CAF
Zanzibar,CAF
Zimbabwe,CAF
Åland Islands,UEFA
